usageKey,canonicalName,vernacularName,primaryImageUrl,secondaryImageUrl,primarySourceUrl,secondarySourceUrl,primaryGbifId,secondaryGbifId,primarySource,secondarySource,primaryLicense,secondaryLicense,primaryVisualRole,secondaryVisualRole,primaryExplicitVisualRoleField,secondaryExplicitVisualRoleField,sameImageUrl,sameGbifId,visualRoleReviewStatus,reviewerVisualVariety,reviewerNotes
2650107,Azolla filiculoides,large mosquito fern,https://inaturalist-open-data.s3.amazonaws.com/photos/605512078/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605543137/original.jpg,https://www.gbif.org/occurrence/6131061006,https://www.gbif.org/occurrence/5938475376,6131061006,5938475376,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2650138,Ophioglossum pusillum,northern adder's-tongue,https://inaturalist-open-data.s3.amazonaws.com/photos/519375019/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/519375023/original.jpg,https://www.gbif.org/occurrence/5198346791,https://www.gbif.org/occurrence/5198346791,5198346791,5198346791,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2650158,Botrychium ascendens,upswept moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/216700368/original.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216700423/original.jpeg,https://www.gbif.org/occurrence/3873074207,https://www.gbif.org/occurrence/3873074207,3873074207,3873074207,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2650161,Botrychium crenulatum,dainty moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/538830551/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/538830579/original.jpg,https://www.gbif.org/occurrence/5230628804,https://www.gbif.org/occurrence/5230628804,5230628804,5230628804,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2650168,Botrychium paradoxum,paradox moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/179323187/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/172275881/original.jpg,https://www.gbif.org/occurrence/3499658936,https://www.gbif.org/occurrence/4046319465,3499658936,4046319465,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2650187,Botrychium pallidum,pale moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/298635732/original.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/298635778/original.jpeg,https://www.gbif.org/occurrence/4993877075,https://www.gbif.org/occurrence/4993877075,4993877075,4993877075,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2650190,Botrychium campestre,prairie moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/42686835/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/42686844/original.jpg,https://www.gbif.org/occurrence/2294428335,https://www.gbif.org/occurrence/2294428335,2294428335,2294428335,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2650197,Botrychium mormo,little goblin moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/19381043/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/19381099/original.jpg,https://www.gbif.org/occurrence/2294397665,https://www.gbif.org/occurrence/2294397665,2294397665,2294397665,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2650211,Botrychium spathulatum,spatulate moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/529761643/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/529761677/original.jpg,https://www.gbif.org/occurrence/5932804435,https://www.gbif.org/occurrence/5932804435,5932804435,5932804435,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2650213,Botrychium montanum,mountain moonwort,https://inaturalist-open-data.s3.amazonaws.com/photos/439754009/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/439754032/original.jpg,https://www.gbif.org/occurrence/4952165561,https://www.gbif.org/occurrence/4952165561,4952165561,4952165561,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
