input_name,usageKey,matchType,confidence,status,canonicalName,vernacularName
Trillium grandiflorum,2742283,EXACT,100,ACCEPTED,Trillium grandiflorum,white trillium
Solidago canadensis,5389029,EXACT,100,ACCEPTED,Solidago canadensis,Canada goldenrod
Equisetum fluviatile,2687937,EXACT,100,ACCEPTED,Equisetum fluviatile,water horsetail
Equisetum arvense,7924597,EXACT,100,ACCEPTED,Equisetum arvense,field horsetail
Equisetum pratense,2687942,EXACT,100,ACCEPTED,Equisetum pratense,meadow horsetail
Equisetum palustre,2687932,EXACT,100,ACCEPTED,Equisetum palustre,marsh horsetail
Equisetum sylvaticum,2687929,EXACT,100,ACCEPTED,Equisetum sylvaticum,woodland horsetail
Equisetum braunii,4275141,EXACT,100,ACCEPTED,Equisetum braunii,Braun's horsetail
Equisetum scirpoides,2687948,EXACT,100,ACCEPTED,Equisetum scirpoides,dwarf scouring-rush
Equisetum variegatum,2687920,EXACT,99,ACCEPTED,Equisetum variegatum,variegated scouring-rush
Equisetum laevigatum,2687949,EXACT,99,ACCEPTED,Equisetum laevigatum,smooth scouring-rush
Equisetum hyemale,2687927,EXACT,100,ACCEPTED,Equisetum hyemale,tall scouring-rush
Isoetes bolanderi,2688296,EXACT,100,ACCEPTED,Isoetes bolanderi,Bolander's quillwort
Isoetes echinospora,4926451,EXACT,99,ACCEPTED,Isoetes echinospora,spiny-spored quillwort
Isoetes engelmannii,2688326,EXACT,100,ACCEPTED,Isoetes engelmannii,Engelmann's quillwort
